,roadtype,onewaysummary,junction,sidewalk,leftside,lanes.psv.forward,lanes.forward,lanes.backward,lanes.psv.backward,rightside,count,
107813253,Main Road - Cycling Allowed,Two Way,no,no,None,0,2,1,0,None,1,
135422563,Main Road - Cycling Allowed,Two Way,no,no,None,0,2,1,0,Lane,1,
3509173,Main Road Link - Cycling Allowed,One Way,no,no,None,0,1,0,0,None,28,
36990372,Main Road Link - Cycling Allowed,One Way,no,left,None,0,1,0,0,None,2,
36996492,Main Road Link - Cycling Allowed,One Way,no,right,None,0,1,0,0,None,1,
4002730,Main Road Link - Cycling Allowed,One Way,no,no,None,0,2,0,0,None,6,
431578441,Main Road Link - Cycling Allowed,One Way,no,left,None,0,2,0,0,None,1,
22818603,Main Road Link - Cycling Allowed,Two Way,no,no,None,0,1,1,0,None,3,
3445487,Minor Road - Cycling Allowed,One Way,no,no,None,0,0,0,0,None,726,
25662620,Minor Road - Cycling Allowed,One Way,no,no,None,1,0,0,0,None,14,
4078708,Minor Road - Cycling Allowed,One Way,no,no,None,1,0,0,0,Lane,2,
4313634,Minor Road - Cycling Allowed,One Way,no,both,None,0,0,0,0,None,2,
4898739,Minor Road - Cycling Allowed,One Way,roundabout,no,None,0,0,0,0,None,2,
35668532,Minor Road - Cycling Allowed,One Way,no,no,Lane,1,0,0,0,Lane,1,
99699330,Minor Road - Cycling Allowed,One Way,no,no,Track,0,0,0,0,Track,1,
107530721,Minor Road - Cycling Allowed,One Way,no,left,None,0,0,0,0,None,1,
3508397,Minor Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,None,329,
3508394,Minor Road - Cycling Allowed,One Way,roundabout,no,None,0,1,0,0,None,36,
3819569,Minor Road - Cycling Allowed,One Way,no,left,None,0,1,0,0,None,19,
3511958,Minor Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,None,13,
3528793,Minor Road - Cycling Allowed,One Way,no,no,None,1,1,0,0,None,12,
3567401,Minor Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,Lane,9,
4308355,Minor Road - Cycling Allowed,One Way,no,right,None,0,1,0,0,None,5,
234727417,Minor Road - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,Lane,5,
24803640,Minor Road - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,None,4,
25650311,Minor Road - Cycling Allowed,One Way,no,both,None,1,1,0,0,None,3,
25662420,Minor Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,Lane,2,
177212276,Minor Road - Cycling Allowed,One Way,no,left,None,1,1,0,0,None,2,
24038082,Minor Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,Track,1,
83709119,Minor Road - Cycling Allowed,One Way,no,left,None,0,1,0,0,Track,1,
139670724,Minor Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,Track,1,
202758341,Minor Road - Cycling Allowed,One Way,no,both,opposite_share_busway,0,1,0,1,opposite_share_busway,1,
326839640,Minor Road - Cycling Allowed,One Way,no,left,None,0,1,0,1,None,1,
326839641,Minor Road - Cycling Allowed,One Way,no,no,opposite_share_busway,0,1,0,1,opposite_share_busway,1,
4494633,Minor Road - Cycling Allowed,One Way,no,no,None,0,2,0,0,None,6,
23482084,Minor Road - Cycling Allowed,One Way - Two Way Cycling,no,no,None,0,0,0,0,None,1,
487390190,Minor Road - Cycling Allowed,One Way - Two Way Cycling,no,no,None,0,0,0,0,Lane,1,
3547126,Minor Road - Cycling Allowed,One Way - Two Way Cycling,no,no,None,0,1,1,0,Lane,10,
4315897,Minor Road - Cycling Allowed,One Way - Two Way Cycling,no,both,None,0,1,1,0,Lane,2,
22612814,Minor Road - Cycling Allowed,One Way - Two Way Cycling,no,both,None,1,1,1,0,Lane,1,
3416742,Minor Road - Cycling Allowed,Two Way,no,no,None,0,0,0,0,None,5368,
72130148,Minor Road - Cycling Allowed,Two Way,no,no,None,1,0,0,0,None,21,
4321271,Minor Road - Cycling Allowed,Two Way,no,left,None,0,0,0,0,None,16,
25661978,Minor Road - Cycling Allowed,Two Way,no,both,None,0,0,0,0,None,11,
4308342,Minor Road - Cycling Allowed,Two Way,no,right,None,0,0,0,0,None,8,
8613917,Minor Road - Cycling Allowed,Two Way,no,no,Track,0,0,0,0,Track,3,
3508423,Minor Road - Cycling Allowed,Two Way,no,no,None,0,1,1,0,None,1123,
3791500,Minor Road - Cycling Allowed,Two Way,no,both,None,0,1,1,0,None,67,
3790592,Minor Road - Cycling Allowed,Two Way,no,left,None,0,1,1,0,None,31,
3416749,Minor Road - Cycling Allowed,Two Way,no,no,Lane,0,1,1,0,None,11,
3528791,Minor Road - Cycling Allowed,Two Way,no,no,None,1,1,1,0,None,8,
12356693,Minor Road - Cycling Allowed,Two Way,no,right,None,0,1,1,0,None,8,
39984417,Minor Road - Cycling Allowed,Two Way,no,no,None,0,1,0,0,None,7,
3730153,Minor Road - Cycling Allowed,Two Way,no,no,Lane,0,1,1,0,Lane,7,
4019424,Minor Road - Cycling Allowed,Two Way,no,no,None,0,1,1,0,Lane,3,
25663250,Minor Road - Cycling Allowed,Two Way,no,both,None,1,1,1,0,None,3,
352696280,Minor Road - Cycling Allowed,Two Way,no,both,None,0,1,0,0,None,1,
67553246,Minor Road - Cycling Allowed,Two Way,no,no,None,1,1,1,1,None,1,
193358599,Minor Road - Cycling Allowed,Two Way,no,both,None,0,1,1,0,Lane,1,
202758340,Minor Road - Cycling Allowed,Two Way,no,no,opposite_share_busway,0,1,1,1,opposite_share_busway,1,
42279691,Minor Road - Cycling Allowed,Two Way,no,no,None,0,1,3,0,None,1,
246058951,Minor Road - Cycling Allowed,Two Way,no,no,None,0,2,1,0,None,1,
246058948,Minor Road - Cycling Allowed,Two Way,no,no,None,0,2,2,0,None,1,
3391098,motorway - Cycling Forbidden,One Way,no,no,None,0,2,0,0,None,37,
2954396,motorway - Cycling Forbidden,One Way,no,no,None,0,3,0,0,None,63,
2954398,motorway - Cycling Forbidden,One Way,no,no,None,0,4,0,0,None,21,
3391107,motorway - Cycling Forbidden,One Way,no,no,None,0,5,0,0,None,2,
3391092,motorway_link - Cycling Forbidden,One Way,no,no,None,0,1,0,0,None,43,
3391104,motorway_link - Cycling Forbidden,One Way,no,no,None,0,2,0,0,None,30,
3449747,motorway_link - Cycling Forbidden,One Way,no,no,None,0,3,0,0,None,7,
133451913,motorway_link - Cycling Forbidden,One Way,no,no,None,0,4,0,0,None,2,
4019258,Path - Cycling Forbidden,Not Applicable,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,858,
457086549,Path - Cycling Forbidden,Not Applicable,no,Not Applicable,Not Applicable,0,0,0,0,None,9,
139630411,Path - Cycling Forbidden,Not Applicable,no,Not Applicable,Not Applicable,1,0,0,0,Not Applicable,1,
3509731,Residential Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,None,348,
4234850,Residential Road - Cycling Allowed,One Way,no,left,None,0,1,0,0,None,23,
4436654,Residential Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,Lane,20,
4308347,Residential Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,None,17,
3547130,Residential Road - Cycling Allowed,One Way,roundabout,no,None,0,1,0,0,None,8,
4315782,Residential Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,Lane,5,
4308332,Residential Road - Cycling Allowed,One Way,no,right,None,0,1,0,0,None,3,
173587176,Residential Road - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,Lane,3,
26792457,Residential Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,Track,2,
4315797,Residential Road - Cycling Allowed,One Way,no,left,None,1,1,0,0,None,1,
162281033,Residential Road - Cycling Allowed,One Way,no,right,None,0,1,0,0,Lane,1,
431568740,Residential Road - Cycling Allowed,One Way,no,left,None,0,1,0,0,Lane,1,
15508650,Residential Road - Cycling Allowed,One Way - Two Way Cycling,no,no,None,0,1,1,0,Lane,6,
7998676,Residential Road - Cycling Allowed,One Way - Two Way Cycling,no,both,None,0,1,1,0,Lane,2,
4323357,Residential Road - Cycling Allowed,One Way - Two Way Cycling,no,left,None,0,1,1,0,Lane,1,
3508420,Residential Road - Cycling Allowed,Two Way,no,no,None,0,1,1,0,None,7081,R2h
3578228,Residential Road - Cycling Allowed,Two Way,no,both,None,0,1,1,0,None,634,R2g
4308341,Residential Road - Cycling Allowed,Two Way,no,right,None,0,1,1,0,None,58,R2f
4308328,Residential Road - Cycling Allowed,Two Way,no,left,None,0,1,1,0,None,52,R2e
4013386,Residential Road - Cycling Allowed,Two Way,no,no,None,0,1,0,0,None,9,
8094356,Residential Road - Cycling Allowed,Two Way,no,no,None,0,1,1,0,Lane,2,R2c
173587177,Residential Road - Cycling Allowed,Two Way,no,no,Lane,0,1,1,0,Lane,2,R2d
193020322,Residential Road - Cycling Allowed,Two Way,no,no,Lane,0,1,1,0,None,1,R2a
311635143,Residential Road - Cycling Allowed,Two Way,no,both,None,1,1,1,0,None,1,R2b
125976200,Segregated Cycleway,One Way,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,4,
4019152,Segregated Cycleway,Two Way,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,80,
367067494,Segregated Cycleway,Two Way,no,Not Applicable,Not Applicable,0,1,1,0,Not Applicable,1,
5843709,Segregated Shared Path,Not Applicable,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,42,
4019154,Shared Path,Not Applicable,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,7425,
158054997,Shared Path,Not Applicable,no,Not Applicable,Not Applicable,0,1,1,0,Not Applicable,1,
90145481,Trunk Road - Cycling Allowed,One Way,no,no,share_busway,1,0,0,0,share_busway,1,
4007141,Trunk Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,None,26,T1a
27035926,Trunk Road - Cycling Allowed,One Way,no,left,None,0,1,0,0,None,2,T1b
27376667,Trunk Road - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,Lane,2,T1c
361213646,Trunk Road - Cycling Allowed,One Way,no,no,share_busway,1,1,0,0,None,1,T1d
458389643,Trunk Road - Cycling Allowed,One Way,no,no,None,1,1,0,0,None,1,
3399177,Trunk Road - Cycling Allowed,One Way,no,no,None,0,2,0,0,None,283,T2a
3399171,Trunk Road - Cycling Allowed,One Way,roundabout,no,None,0,2,0,0,None,85,
3526281,Trunk Road - Cycling Allowed,One Way,no,left,None,0,2,0,0,None,9,T2b
4435555,Trunk Road - Cycling Allowed,One Way,no,no,share_busway,1,2,0,0,None,6,T2c
117066428,Trunk Road - Cycling Allowed,One Way,no,no,Lane,0,2,0,0,None,5,T2d
31727028,Trunk Road - Cycling Allowed,One Way,no,no,Track,0,2,0,0,Track,4,T2e
38081796,Trunk Road - Cycling Allowed,One Way,no,no,Lane,0,2,0,0,Lane,4,T2f
4494635,Trunk Road - Cycling Allowed,One Way,no,right,None,0,2,0,0,None,2,T2g
229352771,Trunk Road - Cycling Allowed,One Way,no,left,Lane,0,2,0,0,Lane,2,
439241536,Trunk Road - Cycling Allowed,One Way,no,no,None,1,2,0,0,None,2,
498960917,Trunk Road - Cycling Allowed,One Way,no,both,None,0,2,0,0,None,2,
458390143,Trunk Road - Cycling Allowed,One Way,no,no,share_busway,1,2,0,0,share_busway,1,
3418638,Trunk Road - Cycling Allowed,One Way,no,left,None,0,3,0,0,None,15,
4002737,Trunk Road - Cycling Allowed,One Way,no,no,None,0,3,0,0,None,15,
148725402,Trunk Road - Cycling Allowed,One Way,no,no,Lane,0,3,0,0,Lane,1,
4003166,Trunk Road - Cycling Allowed,One Way,no,no,None,0,4,0,0,None,7,
34639899,Trunk Road - Cycling Allowed,One Way,roundabout,no,None,0,4,0,0,None,3,
34639887,Trunk Road - Cycling Allowed,One Way,roundabout,no,Lane,0,4,0,0,Lane,1,
131881913,Trunk Road - Cycling Allowed,One Way,no,both,None,0,4,0,0,None,1,
133638238,Trunk Road - Cycling Allowed,Two Way,no,left,share_busway,1,0,0,1,None,2,
4002679,Trunk Road - Cycling Allowed,Two Way,no,no,None,0,1,1,0,None,24,
94524265,Trunk Road - Cycling Allowed,Two Way,no,no,None,0,1,2,0,None,6,
164051498,Trunk Road - Cycling Allowed,Two Way,no,left,share_busway,1,1,2,1,None,4,
4494637,Trunk Road - Cycling Allowed,Two Way,no,left,None,0,1,1,0,None,2,
203121193,Trunk Road - Cycling Allowed,Two Way,no,both,None,0,1,1,0,None,1,
4002766,Trunk Road - Cycling Allowed,Two Way,no,no,share_busway,1,1,2,1,None,1,
133638239,Trunk Road - Cycling Allowed,Two Way,no,left,None,0,1,2,0,None,1,
3217222,Trunk Road - Cycling Allowed,Two Way,no,no,None,0,2,2,0,None,74,
31726979,Trunk Road - Cycling Allowed,Two Way,no,no,None,0,2,1,1,None,4,
3567778,Trunk Road - Cycling Allowed,Two Way,no,both,None,0,2,2,0,None,3,
4002665,Trunk Road - Cycling Allowed,Two Way,no,left,None,0,2,2,0,None,3,
107437561,Trunk Road - Cycling Allowed,Two Way,no,no,share_busway,1,2,2,0,None,3,
156201908,Trunk Road - Cycling Allowed,Two Way,no,no,Lane,0,2,2,0,Lane,2,
479811779,Trunk Road - Cycling Allowed,Two Way,no,both,None,0,2,1,0,None,1,
3730713,Trunk Road - Cycling Allowed,Two Way,no,no,Lane,0,2,2,0,None,1,
458390142,Trunk Road - Cycling Allowed,Two Way,no,no,share_busway,1,2,2,0,share_busway,1,
3418639,Trunk Road Link - Cycling Allowed,One Way,no,no,None,0,1,0,0,None,46,
3418640,Trunk Road Link - Cycling Allowed,One Way,no,left,None,0,1,0,0,None,6,
121381300,Trunk Road Link - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,Lane,2,
3511578,Trunk Road Link - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,None,1,
4296144,Trunk Road Link - Cycling Allowed,One Way,no,no,None,0,1,0,0,Lane,1,
185368220,Trunk Road Link - Cycling Allowed,One Way,no,no,None,1,1,0,0,None,1,
4002663,Trunk Road Link - Cycling Allowed,One Way,no,no,None,0,2,0,0,None,9,
124609515,Trunk Road Link - Cycling Allowed,One Way,no,no,Lane,0,2,0,0,Lane,1,
203303815,Trunk Road Link - Cycling Allowed,One Way,no,both,Lane,0,2,0,0,Lane,1,
203304419,Trunk Road Link - Cycling Allowed,One Way,no,left,Lane,0,2,0,0,Lane,1,
88288931,Trunk Road Link - Cycling Allowed,One Way,no,right,None,0,3,0,0,None,3,
4860965,Trunk Road Link - Cycling Allowed,Two Way,no,no,None,0,1,1,0,None,5,
