id,quietness,speed,pause,cyclable,walkable
3030266,50,24,1,1,0
3030381,75,27,0,1,1
3030888,60,24,0,1,1
3031558,90,26,0,1,1
3031602,80,24,0,1,1
3128387,100,27,0,1,1
3128389,80,24,0,1,1
3128391,80,24,0,1,1
3128570,100,29,0,1,1
3128574,75,27,0,1,1
3217814,90,26,0,1,1
3241002,80,24,0,1,1
3241007,80,24,0,1,1
3241020,80,24,0,1,1
3241037,80,24,0,1,1
3241048,100,29,0,1,1
3244947,100,27,0,1,1
3244961,90,26,0,1,1
3261872,25,24,0,1,0
3291925,100,24,1,1,1
3291976,100,24,1,1,1
3292166,80,24,0,1,1
3292985,80,24,0,1,1
3292986,100,27,0,1,1
3293397,80,24,0,1,1
3293402,80,24,0,1,1
3293405,100,27,0,1,1
3293406,80,24,0,1,1
3301612,60,24,0,1,1
3373068,75,27,0,1,1
3373129,25,24,0,1,0
3374382,90,26,0,1,1
3374384,80,24,0,1,1
3383107,1,24,0,1,0
3384051,25,24,0,1,0
3384861,100,32,0,1,1
3576404,50,24,0,1,1
3650818,80,24,0,1,1
3651125,75,29,0,1,1
3663192,70,24,0,1,1
3665590,50,24,0,1,1
3665593,60,20,0,1,1
3665594,100,27,0,1,0
3665596,75,24,0,1,1
3665597,75,24,0,1,1
3665598,75,24,0,1,1
3665599,75,24,0,1,1
3665601,75,24,0,1,1
3665602,75,24,0,1,1
3665604,100,27,0,1,1
3665605,80,24,0,1,1
3665606,70,26,0,1,1
3665611,100,27,0,1,1
3665612,50,6,0,0,1
3665613,80,24,0,1,1
3665614,80,24,0,1,1
3665615,80,24,0,1,1
3665616,90,26,0,1,1
3665617,80,24,0,1,1
3665618,80,24,0,1,1
3665619,90,26,0,1,1
3665620,60,20,0,1,1
3665621,80,24,0,1,1
3665622,80,24,0,1,1
3665623,80,24,0,1,1
3665624,80,24,0,1,1
3665625,80,24,0,1,1
3665626,80,24,0,1,1
3665627,70,24,1,1,1
3665628,80,24,0,1,1
3665629,80,24,0,1,1
3665630,90,26,0,1,1
3665631,50,6,0,0,1
3665632,80,24,0,1,1
3665633,80,24,0,1,1
3665634,80,24,0,1,1
3665656,80,24,0,1,1
3665657,80,24,0,1,1
3665658,100,30,0,1,1
3667017,80,24,0,1,1
3667018,80,24,0,1,1
3667019,80,24,0,1,1
3667020,80,24,0,1,1
3667021,60,20,0,1,1
3667022,60,20,0,1,1
3667023,90,26,0,1,1
3667024,90,26,0,1,1
3667025,50,6,0,0,1
3667027,100,29,0,1,1
3667028,60,11,2,1,1
3667029,100,32,0,1,1
3667030,80,24,0,1,1
3667031,80,24,0,1,1
3667032,80,24,0,1,1
3667033,80,24,0,1,1
3667034,80,24,0,1,1
3667035,80,24,0,1,1
3667036,80,24,0,1,1
3667037,80,24,0,1,1
3667038,80,24,0,1,1
3667040,80,24,0,1,1
3667049,90,26,0,1,1
3676782,75,24,0,1,1
3676783,75,24,0,1,1
3676785,75,24,0,1,1
3677957,80,24,0,1,1
3677959,100,27,0,1,1
3678087,1,24,0,1,0
3678089,20,24,0,1,0
3678161,40,24,0,1,1
3699430,80,24,0,1,1
3702163,80,24,0,1,1
3702166,80,24,0,1,1
3702167,100,29,0,1,1
3702172,80,24,0,1,1
3702173,50,6,0,0,1
3702178,80,24,0,1,1
3702181,80,24,0,1,1
3702183,100,30,0,1,1
3702184,80,24,0,1,1
3702185,80,24,0,1,1
3702189,80,24,0,1,1
3702190,28,27,6,1,0
3702191,80,24,0,1,1
3702195,80,24,0,1,1
3702196,80,24,0,1,1
3702198,80,24,0,1,1
3702199,80,24,0,1,1
3702200,80,24,0,1,1
3702201,100,30,0,1,1
3702202,60,20,0,1,1
3702206,100,32,0,1,1
3702208,80,24,0,1,1
3702209,60,20,0,1,1
3702210,80,24,0,1,1
3702212,80,24,0,1,1
3702215,80,24,0,1,1
3702216,80,24,0,1,1
3702217,75,24,0,1,1
3702220,20,24,0,1,0
3702221,80,24,0,1,1
3702227,60,20,0,1,1
3702228,80,24,0,1,1
3702229,75,24,0,1,1
3702230,60,20,0,1,1
3702231,80,24,0,1,1
3702232,100,30,0,1,1
3702233,80,24,0,1,1
3702235,80,24,0,1,1
3702236,60,20,0,1,1
3702237,75,24,0,1,1
3702238,80,24,0,1,1
3702240,60,20,0,1,1
3702243,75,24,0,1,1
3702248,60,20,0,1,1
3702250,80,24,0,1,1
3702253,100,29,0,1,1
3702257,80,24,0,1,1
3702262,20,24,0,1,0
3702263,80,24,0,1,1
3702266,50,24,0,1,0
3702267,100,27,0,1,1
3702269,60,20,0,1,1
3702271,80,24,0,1,1
3702278,100,27,0,1,1
3702279,80,24,0,1,1
3702280,35,1,10,1,1
3702282,80,24,0,1,1
3702284,80,24,0,1,1
3702285,80,24,0,1,1
3702433,40,24,0,1,1
3702434,75,24,0,1,1
3702435,60,20,0,1,1
3702436,60,20,0,1,1
3702437,40,24,0,1,1
3702438,40,24,0,1,1
3702439,100,27,0,1,1
3703520,100,27,0,1,1
3708566,75,27,0,1,1
3708567,75,27,0,1,1
3709354,100,27,0,1,1
3709356,100,32,0,1,1
3709357,80,24,0,1,1
3709470,20,24,0,1,0
3713812,100,27,0,1,1
3733133,90,27,0,1,1
3752103,80,24,0,1,1
3752104,100,27,0,1,1
3752105,90,26,0,1,1
3752106,70,26,0,1,1
3752107,28,27,6,1,0
3752108,50,27,1,1,0
3752109,100,27,0,1,1
3752110,100,27,0,1,1
3752111,60,20,0,1,1
3752112,100,29,0,1,1
3752114,100,27,0,1,1
3752117,80,24,0,1,1
3752119,60,20,0,1,1
3752121,60,20,0,1,1
3752122,60,20,0,1,1
3752124,80,24,0,1,1
3752126,80,24,0,1,1
3752127,50,6,0,0,1
3752135,50,27,1,1,0
3752136,80,24,0,1,1
3752137,80,24,0,1,1
3752138,60,20,0,1,1
3752139,60,20,0,1,1
3752140,60,20,0,1,1
3752141,60,20,0,1,1
3752142,60,20,0,1,1
3752143,60,20,0,1,1
3752144,60,20,0,1,1
3752145,80,24,0,1,1
3752146,80,24,0,1,1
3752147,80,24,0,1,1
3752148,50,6,0,0,1
3752150,80,24,0,1,1
3752152,100,32,0,1,1
3752153,60,20,0,1,1
3752154,75,27,0,1,1
3752155,60,20,0,1,1
3752156,60,20,0,1,1
3752157,60,20,0,1,1
3752158,80,24,0,1,1
3752160,50,6,10,1,1
3752161,50,6,10,1,1
3752162,50,6,10,1,1
3752163,80,24,0,1,1
3752164,50,6,0,0,1
3752165,100,29,0,1,1
3752166,60,20,0,1,1
3752167,100,29,0,1,1
3752169,80,24,0,1,1
3752170,80,24,0,1,1
3752171,80,24,0,1,1
3752172,80,24,0,1,1
3752173,80,24,0,1,1
3752174,80,24,0,1,1
3752175,80,24,0,1,1
3752176,80,24,0,1,1
3752177,60,20,0,1,1
3752178,60,20,0,1,1
3752179,50,6,0,0,1
3752180,50,6,0,0,1
3752181,75,27,0,1,1
3752183,75,24,0,1,1
3752185,75,24,0,1,1
3752186,75,24,0,1,1
3752187,75,24,0,1,1
3752189,75,24,0,1,1
3752190,75,24,0,1,1
3752191,75,26,0,1,1
3752192,75,24,0,1,1
3752193,75,24,0,1,1
3752194,60,20,0,1,1
3752195,75,27,0,1,1
3752196,75,24,0,1,1
3752198,75,24,0,1,1
3752199,75,24,0,1,1
3752200,75,24,0,1,1
3752201,75,24,0,1,1
3752203,75,24,0,1,1
3752204,100,27,0,1,1
3752205,100,27,0,1,1
3752206,60,20,0,1,1
3752207,50,6,0,0,1
3752208,100,27,0,1,1
3752210,50,6,10,1,1
3752211,100,27,0,1,1
3752213,80,24,0,1,1
3752214,80,24,0,1,1
3752215,80,24,0,1,1
3752216,80,24,0,1,1
3752217,80,24,0,1,1
3752218,80,24,0,1,1
3752219,80,24,0,1,1
3752220,50,6,0,0,1
3752221,50,6,0,0,1
3752222,80,24,0,1,1
3752223,60,20,0,1,1
3752376,80,24,0,1,1
3752984,60,20,0,1,1
3752985,60,20,0,1,1
3753023,100,29,0,1,1
3753027,60,20,0,1,1
3753028,100,29,0,1,1
3753113,60,20,0,1,1
3753381,50,6,0,0,1
3753384,60,20,0,1,1
3753385,80,24,0,1,1
3791922,25,24,0,1,0
3792612,25,24,0,1,0
3792615,25,24,0,1,0
3792616,25,24,0,1,0
3792617,25,24,0,1,0
3792618,25,24,0,1,0
3811741,80,24,0,1,1
3812661,25,24,0,1,0
3823210,50,6,0,0,1
3823211,50,6,0,0,1
3823212,50,6,0,0,1
3823216,50,6,0,0,1
3823218,50,6,0,0,1
3823219,50,6,0,0,1
3823220,50,6,0,0,1
3823223,100,16,0,1,1
3823224,30,2,2,0,1
3823228,50,6,0,0,1
3823229,50,6,0,0,1
3823230,50,6,0,0,1
3823231,80,24,0,1,1
3823232,80,24,0,1,1
3823233,80,24,0,1,1
3823234,50,6,10,1,1
3823235,80,24,0,1,1
3823236,80,24,0,1,1
3823238,80,24,0,1,1
3823239,80,24,0,1,1
3823240,80,24,0,1,1
3823241,80,24,0,1,1
3823242,60,20,0,1,1
3823243,80,24,0,1,1
3823244,80,24,0,1,1
3823245,80,24,0,1,1
3823247,80,24,0,1,1
3823248,80,24,0,1,1
3823249,50,6,0,0,1
3823250,80,24,0,1,1
3823251,80,24,0,1,1
3823254,80,24,0,1,1
3823255,75,24,0,1,1
3823256,75,24,0,1,1
3823257,75,24,0,1,1
3823258,75,24,0,1,1
3823259,75,24,0,1,1
3823261,80,24,0,1,1
3823263,80,24,0,1,1
3823264,80,24,0,1,1
3823265,80,24,0,1,1
3823266,80,24,0,1,1
3823267,80,24,0,1,1
3823268,80,24,0,1,1
3823269,80,24,0,1,1
3823270,80,24,0,1,1
3823271,80,24,0,1,1
3823274,80,24,0,1,1
3823275,80,24,0,1,1
3823278,60,20,0,1,1
3823280,60,20,0,1,1
3823282,75,24,0,1,1
3823283,75,24,0,1,1
3823285,75,24,0,1,1
3823287,75,24,0,1,1
3823288,75,24,0,1,1
3823289,75,24,0,1,1
3823290,75,24,0,1,1
3823291,75,24,0,1,1
3823292,75,24,0,1,1
3823293,75,24,0,1,1
3823295,75,24,0,1,1
3823296,75,24,0,1,1
3823297,75,24,0,1,1
3823298,75,24,0,1,1
3823299,75,24,0,1,1
3823301,80,24,0,1,1
3823302,75,24,0,1,1
3823303,75,24,0,1,1
3823304,70,12,0,1,1
3825970,80,24,0,1,1
3826038,80,24,0,1,1
3841363,25,1,15,0,1
3875322,100,30,0,1,1
3875324,100,30,0,1,1
3875325,100,30,0,1,1
3875326,100,29,0,1,1
3875327,80,24,0,1,1
3875328,80,24,0,1,1
3875329,80,24,0,1,1
3875331,80,24,0,1,1
3875332,80,24,0,1,1
3875333,100,27,0,1,1
3875334,80,24,0,1,1
3875336,80,24,0,1,1
3875337,80,24,0,1,1
3875340,50,6,0,0,1
3875341,80,24,0,1,1
3875344,80,24,0,1,1
3875345,80,24,0,1,1
3875346,50,6,0,0,1
3875347,100,27,0,1,1
3875348,60,20,0,1,1
3875354,100,27,0,1,1
3875355,100,27,0,1,1
3875356,80,24,0,1,1
3875357,50,6,0,0,1
3875358,50,6,0,0,1
3875360,50,6,10,1,1
3875361,60,20,0,1,1
3875362,60,20,0,1,1
3875366,75,29,0,1,1
3875367,60,20,0,1,1
3875369,75,26,0,1,1
3875370,75,26,0,1,1
3875371,75,26,0,1,1
3875372,75,26,0,1,1
3875374,50,6,0,0,1
3875375,60,20,0,1,1
3875378,80,24,0,1,1
3875379,75,26,0,1,1
3875381,60,20,0,1,1
3875384,100,30,0,1,1
3875385,25,24,0,1,0
3875386,60,20,0,1,1
3875387,75,27,0,1,1
3875388,70,24,0,1,1
3875389,75,27,0,1,1
3875392,100,30,0,1,0
3875393,75,27,0,1,1
3875395,75,24,0,1,1
3875396,60,20,0,1,1
3875397,75,24,0,1,1
3875398,75,24,0,1,1
3875399,60,20,0,1,1
3875400,60,20,0,1,1
3875401,100,27,0,1,1
3875402,100,29,0,1,1
3875403,100,29,0,1,1
3875405,60,20,0,1,1
3875406,60,20,0,1,1
3875407,60,20,0,1,1
3875409,70,24,0,1,1
3875464,75,24,0,1,1
3875465,60,20,0,1,1
3875466,60,20,0,1,1
3875467,60,20,0,1,1
3875468,80,24,0,1,1
3875469,80,24,0,1,1
3875472,60,20,0,1,1
3875476,60,20,0,1,1
3875478,55,27,0,1,0
3875480,100,20,0,1,1
3875482,60,20,0,1,1
3875483,60,20,0,1,1
3875484,60,20,0,1,1
3875485,80,23,1,1,1
3875486,60,20,0,1,1
3875489,80,23,1,1,1
3875490,60,20,0,1,1
3875497,60,20,0,1,1
3875499,80,24,0,1,1
3875500,80,24,0,1,1
3875502,50,6,0,0,1
3875503,80,24,0,1,1
3875504,80,24,0,1,1
3875505,80,24,0,1,1
3875506,80,24,0,1,1
3875507,80,24,0,1,1
3875508,80,24,0,1,1
3875509,80,24,0,1,1
3875510,80,24,0,1,1
3875512,80,24,0,1,1
3875513,100,32,0,1,1
3875514,60,8,0,0,1
3875515,80,20,0,1,1
3875518,80,24,0,1,1
3875520,60,20,0,1,1
3875524,60,20,0,1,1
3875525,60,20,0,1,1
3875527,60,20,0,1,1
3875528,60,20,0,1,1
3875533,100,27,0,1,1
3875534,100,32,0,1,1
3875537,50,6,0,0,1
3875539,60,20,0,1,1
3875541,80,24,0,1,1
3875543,25,24,0,1,0
3875544,25,24,0,1,0
3875545,100,27,0,1,1
3875548,50,6,10,1,1
3876592,80,24,0,1,1
3904043,80,24,0,1,1
3904044,80,24,0,1,1
3904045,80,24,0,1,1
3904046,80,24,0,1,1
3904050,65,30,0,1,0
3904052,28,27,6,1,0
3904062,25,24,0,1,0
3904063,90,24,0,1,1
3904159,35,27,0,1,0
3905471,55,27,0,1,0
3905963,75,27,0,1,1
3959562,60,20,0,1,1
3959563,100,27,0,1,1
3959564,80,24,0,1,1
3959565,60,20,0,1,1
3959566,60,20,0,1,1
3959567,100,27,0,1,0
3959568,100,27,0,1,1
3959569,80,24,0,1,1
3959570,80,24,0,1,1
3959571,80,24,0,1,1
3959572,90,26,0,1,1
3959573,90,26,0,1,1
3959574,80,24,0,1,1
3959575,60,20,0,1,1
3959576,50,6,0,0,1
3959579,80,24,0,1,1
3959580,80,24,0,1,1
3959581,60,20,0,1,1
3959582,100,27,0,1,1
3959584,100,27,0,1,1
3959588,100,27,0,1,1
3959589,60,20,0,1,1
3959590,100,23,0,1,1
3959594,80,24,0,1,1
3959595,80,24,0,1,1
3959596,80,24,0,1,1
3959597,80,24,0,1,1
3959599,80,24,0,1,1
3959600,80,24,0,1,1
3959601,60,20,0,1,1
3959603,80,24,0,1,1
3959604,80,24,0,1,1
3959605,50,6,0,0,1
3959606,80,24,0,1,1
3959607,80,24,0,1,1
3959609,80,24,0,1,1
3959610,100,27,0,1,1
3959617,80,24,0,1,1
3959618,100,27,0,1,0
3959620,80,24,0,1,1
3959621,80,24,0,1,1
3959622,60,20,0,1,1
3959623,80,24,0,1,1
3959624,80,24,0,1,1
3959625,80,24,0,1,1
3959627,80,24,0,1,1
3986517,75,26,0,1,1
3986537,50,27,1,1,0
